feature,importance
Sales_rolling_mean_14,0.5180571851886265
Sales_rolling_mean_7,0.17049912665484138
Promo,0.12514677142164665
Sales_rolling_std_7,0.03897443563349464
Sales_lag_1,0.032651514586332545
DayOfWeek,0.024782170814255454
DayOfWeek_cos,0.01973884662312957
Day,0.01610215133480479
Sales_rolling_std_14,0.007796422961043239
WeekOfYear,0.004909965551533263
Sales_lag_7,0.0046055355905376865
DayOfWeek_sin,0.004389933937448332
Sales_lag_14,0.003960897156468735
StoreType_encoded,0.003872520112421234
Sales_rolling_mean_30,0.003738377916248848
CompetitionDistance,0.003245858963105497
Sales_lag_30,0.0029888119700491557
Store,0.0027482806779377273
Sales_rolling_std_30,0.0027345821204676894
IsWeekend,0.0016536409963047343
IsMonthEnd,0.001589418220486364
Month_cos,0.0014078263737282836
Month,0.000997821572422135
Month_sin,0.0008912794075129997
Year,0.0006004310117063067
StateHoliday_encoded,0.0005198210396265215
Assortment_encoded,0.00043817071449118674
SchoolHoliday,0.00030897599000948034
CompetitionOpen,0.0002642798687086719
Quarter,0.00025476142132980204
IsMonthStart,0.00013018416928055194
